group,subgroup,shap value,cluster,type
Population without health services,class 0,1.163399133,all,chkk
Altitude,class 1,0.001,all,zika
Illiteracy,class 0,0.90004106,all,zika
Max mm/day,class 1,0.29701674899999997,all,dengue
Mean mm/day,class 0,0.42754925,non,zika
Mean Temp,class 0,0.018182289,non,chkk
Mean Max Temp,class 1,0.311000353,non,dengue
Min mm/day,class 0,0.02289815,non,chkk
Houses without water pipelines,class 0,0.144816627,non,chkk
Mean mm/day,class 1,0.35573161700000006,all,zika
Houses without electricity,class 0,0.417466957,all,dengue
Houses without water pipelines,class 0,0.392776343,non,zika
Houses without electricity,class 0,0.591650319,non,zika
Max mm/day,class 0,0.103112709,non,chkk
Houses without sewage,class 0,0.311576857,all,zika
Houses without water pipelines,class 1,0.418333767,all,dengue
Altitude,class 0,0.001,all,zika
Mean mm/day,class 0,0.421125635,non,dengue
Houses without electricity,class 0,0.024455175,non,chkk
Mean Min Temp,class 0,0.50191325,all,chkk
Houses without sewage,class 0,0.451007727,non,dengue
Illiteracy,class 1,0.7435925459999999,non,zika
Altitude,class 0,0.035543885,non,chkk
Population without health services,class 1,1.153299701,all,chkk
Houses without toilet,class 1,0.394982796,all,zika
Mean Temp,class 0,0.176427282,all,chkk
Houses without electricity,class 0,0.001,non,chkk
Max mm/day,class 0,0.7569867990000001,non,zika
Illiteracy,class 1,0.7404427809999999,non,zika
Houses without electricity,class 1,0.606556292,non,zika
Houses with floor of dirt,class 0,0.21339345,non,dengue
Population without health services,class 1,0.32,all,dengue
Houses without water pipelines,class 0,0.128533017,non,chkk
Mean mm/day,class 1,0.335645245,all,zika
Illiteracy,class 0,0.279170225,non,chkk
Illiteracy,class 0,0.697702325,all,dengue
Altitude,class 0,0.039088008,all,zika
Mean mm/day,class 1,0.234194984,all,chkk
Illiteracy,class 0,0.915190963,all,zika
Houses without sewage,class 0,0.522410574,all,chkk
Population without health services,class 1,1.111666949,all,chkk
Min mm/day,class 0,0.001,non,dengue
Illiteracy,class 1,0.534512725,non,dengue
Houses without water pipelines,class 1,0.425918849,non,zika
Houses without toilet,class 1,0.47881963899999996,all,dengue
Houses with floor of dirt,class 1,0.20219288800000002,all,zika
Houses without toilet,class 1,0.43184883,non,dengue
Mean Min Temp,class 0,0.228729295,all,zika
Population without health services,class 1,0.7712864190000001,non,dengue
Max mm/day,class 0,0.732655877,non,zika
Houses with floor of dirt,class 0,0.19164215,non,dengue
Mean Max Temp,class 1,0.18568354399999998,all,zika
Mean Temp,class 1,0.177476981,all,chkk
Houses without sewage,class 0,0.3058834,all,zika
Population without health services,class 1,1.160466238,all,chkk
Mean mm/day,class 1,0.350561705,all,zika
Houses without water pipelines,class 1,0.558002077,all,zika
Illiteracy,class 1,0.51,non,dengue
Mean Temp,class 1,0.139917236,all,dengue
Houses without toilet,class 1,0.479609915,all,dengue
Illiteracy,class 0,0.881333598,all,zika
Mean Min Temp,class 1,0.32775424,all,dengue
Mean Min Temp,class 1,0.418839875,all,chkk
Illiteracy,class 1,0.695503105,non,zika
Mean Temp,class 0,0.15597108099999998,all,chkk
Mean Min Temp,class 1,0.136203568,all,zika
Min mm/day,class 1,0.038237767,all,dengue
Altitude,class 0,0.001583918,non,dengue
Illiteracy,class 0,0.47231979700000004,non,dengue
Max mm/day,class 0,0.73081951,non,zika
Mean Min Temp,class 0,0.48473553700000005,all,chkk
Houses with floor of dirt,class 0,0.22265542600000002,non,dengue
Illiteracy,class 0,0.7996136490000001,all,chkk
Houses with floor of dirt,class 0,0.18,all,zika
Houses without sewage,class 1,0.541058309,all,dengue
Mean Max Temp,class 1,0.173797108,all,zika
Illiteracy,class 0,0.806642092,all,chkk
Mean Temp,class 0,0.17386268300000002,all,dengue
Houses with floor of dirt,class 1,0.193999402,non,zika
Houses without electricity,class 0,0.26074762100000004,non,dengue
Mean Temp,class 0,0.025257417999999997,non,zika
Houses without water pipelines,class 0,0.38886909,all,dengue
Mean Max Temp,class 1,0.192588987,non,zika
Altitude,class 0,0.024536765,non,zika
Mean Temp,class 0,0.001,non,zika
Population without health services,class 0,0.824731126,all,zika
Illiteracy,class 0,0.903305115,all,zika
Houses without sewage,class 0,0.498027987,all,dengue
Min mm/day,class 1,0.001685954,non,dengue
Houses without electricity,class 1,0.40885543700000004,all,dengue
Mean Min Temp,class 1,0.5507581429999999,non,dengue
Min mm/day,class 0,0.001,all,dengue
Illiteracy,class 0,0.894900048,all,zika
Population without health services,class 0,1.2040479929999999,all,chkk
Illiteracy,class 0,0.7041892059999999,all,dengue
Altitude,class 0,0.031820093,non,dengue
Max mm/day,class 1,0.39756497700000004,non,dengue
Houses without sewage,class 0,0.056760894000000006,non,zika
Mean Max Temp,class 0,0.34867958200000004,non,dengue
Houses without toilet,class 0,0.45663203700000005,all,dengue
Houses without sewage,class 1,0.40797016399999997,all,chkk
Houses without water pipelines,class 1,0.42124616,all,dengue
Mean Min Temp,class 0,0.36383114299999997,all,dengue
Houses with floor of dirt,class 0,0.5011108320000001,non,chkk
Altitude,class 0,0.001,non,dengue
Mean Temp,class 0,0.307980586,all,zika
Houses with floor of dirt,class 1,0.595872191,all,dengue
Houses with floor of dirt,class 0,0.48257068700000005,non,chkk
Min mm/day,class 0,0.037268676,all,chkk
Illiteracy,class 0,0.9115299040000001,all,zika
Houses without water pipelines,class 0,0.413462035,non,zika
Min mm/day,class 1,0.007014498,all,zika
Houses with floor of dirt,class 0,0.237923585,non,dengue
Houses without sewage,class 1,0.017465473999999998,non,zika
Mean Max Temp,class 1,0.21192901600000003,non,zika
Houses without sewage,class 0,0.49514310799999994,all,chkk
Altitude,class 1,0.0030398770000000003,non,dengue
Houses without toilet,class 0,0.38495849200000004,all,chkk
Mean mm/day,class 0,0.272311273,all,dengue
Mean Temp,class 1,0.109478206,all,dengue
Population without health services,class 1,0.396199315,non,zika
Mean mm/day,class 0,0.349451815,non,chkk
Houses without toilet,class 0,1.17776435,non,zika
Mean Min Temp,class 0,0.135091532,non,zika
Mean Max Temp,class 0,0.979553755,non,chkk
Mean Temp,class 1,0.732443073,non,dengue
Houses without sewage,class 1,0.343630244,all,zika
Altitude,class 1,0.08508353699999999,all,chkk
Houses without electricity,class 0,0.280543315,non,dengue
Houses without electricity,class 0,0.551082194,non,zika
Altitude,class 1,0.001,all,dengue
Max mm/day,class 0,0.261854417,all,chkk
Houses without electricity,class 1,0.443820593,all,chkk
Min mm/day,class 1,0.030847659,non,dengue
Max mm/day,class 1,0.18808341899999997,all,zika
Mean mm/day,class 0,0.20848627,all,chkk
Houses without toilet,class 1,0.404956307,all,zika
Mean Min Temp,class 1,0.17980251100000003,all,zika
Houses with floor of dirt,class 0,0.516908614,non,chkk
Population without health services,class 1,0.40003497299999996,non,zika
Illiteracy,class 0,0.696543118,non,zika
Min mm/day,class 1,0.005220937,non,dengue
Illiteracy,class 1,0.217583782,non,chkk
Mean Min Temp,class 0,0.015805458,non,chkk
Mean Min Temp,class 1,0.343635368,all,dengue
Mean Min Temp,class 0,0.486498169,non,dengue
Houses without sewage,class 1,0.338735103,all,zika
Population without health services,class 1,0.86515442,all,zika
Houses without sewage,class 1,0.001,non,zika
Altitude,class 1,0.084700673,all,chkk
Mean mm/day,class 0,0.41452769899999997,non,dengue
Mean Temp,class 1,0.16699332,all,chkk
Houses without toilet,class 0,0.8117539359999999,non,chkk
Illiteracy,class 1,0.200042683,non,chkk
Mean Temp,class 0,0.001,non,zika
Mean Min Temp,class 0,0.13,non,zika
Mean Max Temp,class 1,0.181541256,non,zika
Mean Max Temp,class 1,0.916663745,non,chkk
Mean Max Temp,class 0,0.21655437600000002,non,zika
Max mm/day,class 1,0.315015166,all,dengue
Mean mm/day,class 0,0.42290283100000003,non,zika
Houses without water pipelines,class 1,0.181994102,non,chkk
Mean Temp,class 0,0.116412665,all,chkk
Houses without water pipelines,class 0,0.136420563,non,chkk
Houses without toilet,class 1,1.201704795,non,zika
Houses with floor of dirt,class 1,0.587320669,all,dengue
Houses with floor of dirt,class 0,0.516585635,all,chkk
Mean Temp,class 0,0.125981914,all,dengue
Mean Min Temp,class 0,0.135152076,non,zika
Mean mm/day,class 1,0.39887727100000003,non,zika
Mean mm/day,class 0,0.27498116,all,dengue
Houses with floor of dirt,class 0,0.633139134,all,dengue
Houses with floor of dirt,class 1,0.17680007600000003,all,zika
Population without health services,class 1,0.898822335,all,zika
Houses with floor of dirt,class 0,0.601253069,all,dengue
Max mm/day,class 1,0.399088175,non,dengue
Min mm/day,class 1,0.001,all,dengue
Altitude,class 1,0.085666184,all,chkk
Mean Min Temp,class 1,0.154545891,all,zika
Mean Min Temp,class 1,0.032418193,non,chkk
Mean Min Temp,class 1,0.050826505999999994,non,zika
Houses without sewage,class 0,0.491504637,non,dengue
Altitude,class 1,0.04371133,all,chkk
Mean Max Temp,class 1,0.17844297899999997,all,zika
Houses with floor of dirt,class 0,0.53140289,non,chkk
Max mm/day,class 0,0.690251045,non,zika
Max mm/day,class 0,0.18444971699999999,all,zika
Illiteracy,class 0,0.258375691,non,chkk
Mean Min Temp,class 0,0.530145767,non,dengue
Houses without water pipelines,class 1,0.424113795,non,zika
Mean Min Temp,class 1,0.48824634200000006,non,dengue
Mean Min Temp,class 1,0.326027312,all,dengue
Houses without sewage,class 0,0.331537173,all,zika
Min mm/day,class 1,0.04208292,all,chkk
Houses with floor of dirt,class 1,0.600482745,all,dengue
Max mm/day,class 0,0.092223296,non,chkk
Illiteracy,class 1,0.7579270220000001,non,zika
Altitude,class 1,0.001,non,zika
Mean mm/day,class 0,0.25883136,all,dengue
Max mm/day,class 0,0.22529596699999999,all,zika
Min mm/day,class 0,0.019408682,all,zika
Houses without sewage,class 1,0.527216198,all,dengue
Min mm/day,class 1,0.010180625,non,dengue
Illiteracy,class 1,0.8203445090000001,all,zika
Houses with floor of dirt,class 0,0.598116257,all,dengue
Population without health services,class 1,0.7673290490000001,non,dengue
Houses without toilet,class 1,0.42264324,non,dengue
Population without health services,class 0,0.7978720709999999,all,zika
Houses without water pipelines,class 1,0.48785002200000005,non,zika
Houses without water pipelines,class 1,0.174328015,non,chkk
Houses with floor of dirt,class 1,0.15529975599999998,non,zika
Mean Max Temp,class 0,0.219429123,all,zika
Houses without sewage,class 0,0.004455894,non,zika
Population without health services,class 0,0.7048263640000001,non,dengue
Mean Max Temp,class 1,0.923484667,non,chkk
Min mm/day,class 1,0.006536755,non,zika
Min mm/day,class 0,0.001,non,dengue
Houses with floor of dirt,class 0,0.279167825,non,zika
Mean Min Temp,class 0,0.35875846100000003,all,dengue
Max mm/day,class 0,0.278307378,all,dengue
Mean Max Temp,class 0,0.484575839,all,dengue
Houses without water pipelines,class 1,0.393219263,all,dengue
Houses without water pipelines,class 0,0.379555071,all,dengue
Houses without electricity,class 1,0.50308216,all,chkk
Mean Min Temp,class 1,0.018533332,non,zika
Houses without toilet,class 0,0.444772585,all,zika
Mean Max Temp,class 0,0.235993103,non,zika
Min mm/day,class 1,0.03720826,non,chkk
Houses with floor of dirt,class 0,0.19847585399999998,all,zika
Houses without sewage,class 0,0.509679123,all,dengue
Mean mm/day,class 0,0.446157979,non,chkk
Max mm/day,class 1,0.183823075,all,zika
Houses without toilet,class 1,0.48649872200000005,non,dengue
Houses without sewage,class 0,0.293332058,all,zika
Mean Temp,class 1,0.031930402999999996,non,chkk
Population without health services,class 0,1.168800227,all,chkk
Mean Min Temp,class 0,0.48571229899999996,non,dengue
Min mm/day,class 1,0.001,non,zika
Mean Max Temp,class 1,0.470268539,all,dengue
Max mm/day,class 0,0.381503098,non,dengue
Houses without electricity,class 1,0.368559404,all,dengue
Max mm/day,class 0,0.242525689,all,zika
Houses with floor of dirt,class 0,0.184412933,all,zika
Population without health services,class 0,0.38785320799999995,non,chkk
Houses without electricity,class 0,0.419648074,all,dengue
Houses without water pipelines,class 0,0.301063305,non,dengue
Mean Temp,class 0,0.007775931,non,chkk
Mean Min Temp,class 0,0.13063396800000002,non,zika
Houses without electricity,class 0,0.452435914,all,dengue
Mean Max Temp,class 0,0.258941131,non,dengue
Illiteracy,class 0,0.79821643,all,chkk
Mean Temp,class 0,0.135239852,all,chkk
Mean mm/day,class 0,0.437427811,non,zika
Houses with floor of dirt,class 0,0.49879069,non,chkk
Houses without electricity,class 1,0.254934815,non,dengue
Houses with floor of dirt,class 0,0.153243286,all,zika
Houses without electricity,class 1,0.090137549,all,zika
Mean Min Temp,class 1,0.069174557,non,chkk
Illiteracy,class 0,0.703021605,non,zika
Houses without electricity,class 0,0.583616314,all,chkk
Houses without electricity,class 0,0.443800425,all,dengue
Mean Temp,class 0,0.018561074,non,chkk
Illiteracy,class 0,0.7067426170000001,non,zika
Mean mm/day,class 1,0.372607268,non,dengue
Mean Min Temp,class 0,0.12746882699999998,non,zika
Mean Min Temp,class 1,0.379636718,all,dengue
Mean Max Temp,class 0,0.9718327859999999,non,chkk
Min mm/day,class 0,0.02392313,all,zika
Population without health services,class 0,0.400243019,non,chkk
Mean Temp,class 0,0.705755185,non,dengue
Altitude,class 1,0.004691896,non,dengue
Houses without water pipelines,class 1,0.161389488,non,chkk
Houses with floor of dirt,class 1,0.550683514,all,chkk
Mean Min Temp,class 1,0.37078716899999997,all,dengue
Max mm/day,class 0,0.21739858899999998,all,zika
Population without health services,class 1,0.31657707399999996,all,dengue
Mean mm/day,class 0,0.475989681,non,zika
Max mm/day,class 1,0.022185073,non,chkk
Houses with floor of dirt,class 1,0.583070579,all,chkk
Mean Min Temp,class 0,0.355231732,all,dengue
Houses without water pipelines,class 1,0.452492179,non,zika
Mean mm/day,class 1,0.39355471700000005,all,zika
Min mm/day,class 1,0.001,non,chkk
Houses with floor of dirt,class 0,0.24177429600000003,non,zika
Mean Min Temp,class 1,0.45951131799999995,non,dengue
Mean Max Temp,class 1,0.48414826,all,dengue
Population without health services,class 1,1.171566006,all,chkk
Houses without electricity,class 0,0.392698428,all,dengue
Houses with floor of dirt,class 0,0.659099566,all,dengue
Mean Max Temp,class 1,0.900767909,non,chkk
Houses without sewage,class 1,0.353766001,all,zika
Population without health services,class 0,0.373619628,all,dengue
Mean Min Temp,class 1,0.179948058,all,zika
Illiteracy,class 1,0.810855098,all,chkk
Altitude,class 0,0.001,non,dengue
Houses without sewage,class 0,0.46,all,chkk
Mean mm/day,class 1,0.44741380700000005,non,zika
Houses without electricity,class 1,0.0032503859999999996,non,chkk
Mean Min Temp,class 1,0.016268175,non,chkk
Max mm/day,class 0,0.371214083,non,dengue
Houses without electricity,class 1,0.007412634,non,chkk
Houses with floor of dirt,class 0,0.185702425,all,zika
Max mm/day,class 0,0.288265213,all,chkk
Illiteracy,class 0,0.705723806,all,dengue
Mean mm/day,class 0,0.41172047100000003,non,chkk
Houses without toilet,class 1,0.45915298200000004,all,dengue
Altitude,class 0,0.013002346000000001,non,dengue
Houses with floor of dirt,class 0,0.21788782899999998,non,dengue
Min mm/day,class 0,0.038668416000000004,non,chkk
Mean mm/day,class 0,0.371578915,non,chkk
Houses without toilet,class 0,0.758469837,non,chkk
Houses without sewage,class 1,0.5430450029999999,non,dengue
Mean Temp,class 0,0.3,all,zika
Houses without electricity,class 0,0.604863272,all,chkk
Houses without electricity,class 1,0.10422109800000001,all,zika
Population without health services,class 1,0.28390788699999997,all,dengue
Houses without sewage,class 0,0.32031066199999997,all,zika
Houses without electricity,class 1,0.51394721,all,chkk
Population without health services,class 1,0.756201525,non,dengue
Houses without sewage,class 1,0.203782508,non,chkk
Max mm/day,class 0,0.764553622,non,zika
Illiteracy,class 1,0.792904485,all,chkk
Min mm/day,class 0,0.02173965,non,chkk
Mean Max Temp,class 1,0.633990068,all,chkk
Mean mm/day,class 0,0.285665514,all,zika
Mean Temp,class 1,0.010364083,non,zika
Houses without electricity,class 0,0.572949914,non,zika
Houses without electricity,class 1,0.30434891399999997,non,dengue
Houses without water pipelines,class 0,0.28575585,all,chkk
Houses without toilet,class 0,0.44723306399999996,all,zika
Houses without toilet,class 1,0.841697151,non,chkk
Altitude,class 0,0.001,all,dengue
Mean Min Temp,class 1,0.212186925,all,zika
